,날짜,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
126,2023-08-19,토,키움,롯데,고척,13423,14:00,17:15,3:15,안우진,나균안,고척
127,2023-08-20,일,키움,롯데,고척,12545,14:00,17:57,3:57,오상원,박세웅,고척
128,2023-08-22,화,키움,두산,고척,6455,18:30,21:17,2:47,김선기,알칸타라,고척
129,2023-08-23,수,키움,두산,고척,6455,18:30,22:28,3:58,장재영,브랜든,고척
130,2023-08-24,목,키움,두산,고척,6819,18:30,22:37,4:07,맥키니,김동주,고척
131,2023-09-01,금,키움,KT,고척,3746,18:30,21:34,3:04,장재영,고영표,고척
132,2023-09-02,토,키움,KT,고척,6731,17:01,20:08,3:07,김선기,배제성,고척
133,2023-09-03,일,키움,KT,고척,5778,14:01,16:35,2:34,후라도,김민,고척
134,2023-09-08,금,키움,한화,고척,7715,18:31,23:13,4:42,김선기,산체스,고척
135,2023-09-09,토,키움,한화,고척,9962,14:00,17:16,3:16,김동혁,김기중,고척
136,2023-09-09,토,키움,한화,고척,10028,14:00,17:16,3:16,김동혁,김기중,고척
137,2023-09-10,일,키움,한화,고척,11313,14:00,17:56,3:56,주승우,한승주,고척
138,2023-09-21,목,키움,NC,고척,5178,18:30,21:18,2:48,후라도,태너,고척
139,2023-09-28,목,키움,SSG,고척,7082,17:00,19:59,2:59,후라도,오원석,고척
140,2023-09-29,금,키움,KIA,고척,14472,14:00,17:57,3:57,김선기,황동하,고척
141,2023-10-07,토,키움,LG,고척,13301,17:00,19:49,2:49,후라도,이지강,고척
142,2023-10-10,화,키움,삼성,고척,11757,18:30,21:46,3:16,김선기,황동재,고척
143,2024-03-29,금,키움,LG,고척,8465,18:30,21:13,2:43,후라도,엔스,고척
144,2024-03-30,토,키움,LG,고척,13462,17:01,19:45,2:44,하영민,임찬규,고척
145,2024-03-31,일,키움,LG,고척,11822,14:00,16:49,2:49,헤이수스,켈리,고척
146,2024-04-05,금,키움,한화,고척,16000,18:30,21:31,3:01,하영민,류현진,고척
147,2024-04-06,토,키움,한화,고척,16000,17:01,19:56,2:55,헤이수스,페냐,고척
148,2024-04-07,일,키움,한화,고척,16000,14:00,17:25,3:25,김선기,김민우,고척
149,2024-04-12,금,키움,롯데,고척,8838,18:30,21:31,3:01,헤이수스,박세웅,고척
150,2024-04-13,토,키움,롯데,고척,14197,17:00,19:52,2:52,김선기,반즈,고척
151,2024-04-14,일,키움,롯데,고척,12333,14:00,17:45,3:45,손현기,나균안,고척
152,2024-04-16,화,키움,KT,고척,2877,18:31,21:04,2:33,후라도,쿠에바스,고척
153,2024-04-17,수,키움,KT,고척,3272,18:31,22:07,3:36,하영민,육청명,고척
154,2024-04-18,목,키움,KT,고척,2901,18:30,21:01,2:31,헤이수스,벤자민,고척
155,2024-04-23,화,키움,KIA,고척,10205,18:31,22:15,3:44,하영민,크로우,고척
156,2024-04-24,수,키움,KIA,고척,11048,18:30,21:29,2:59,헤이수스,윤영철,고척
157,2024-04-25,목,키움,KIA,고척,13287,18:30,21:10,2:40,이종민,양현종,고척
158,2024-04-26,금,키움,삼성,고척,9519,18:30,21:19,2:49,김인범,원태인,고척
159,2024-04-27,토,키움,삼성,고척,15073,17:01,20:24,3:23,후라도,코너,고척
160,2024-04-28,일,키움,삼성,고척,13354,14:01,17:39,3:38,하영민,레예스,고척
161,2024-05-07,화,키움,두산,고척,7339,18:30,21:16,2:46,이종민,곽빈,고척
162,2024-05-08,수,키움,두산,고척,6405,18:30,21:19,2:49,김인범,브랜든,고척
163,2024-05-09,목,키움,두산,고척,8658,18:31,21:23,2:52,후라도,최원준,고척
164,2024-05-17,금,키움,SSG,고척,9806,18:30,22:27,3:57,헤이수스,앤더슨,고척
165,2024-05-18,토,키움,SSG,고척,12133,17:01,19:53,2:52,이종민,이기순,고척
166,2024-05-19,일,키움,SSG,고척,10049,14:01,17:13,3:12,김인범,오원석,고척
167,2024-05-21,화,키움,NC,고척,3940,18:31,21:53,3:22,하영민,신민혁,고척
168,2024-05-22,수,키움,NC,고척,4337,18:31,21:54,3:23,후라도,하트,고척
169,2024-05-23,목,키움,NC,고척,3897,18:30,21:14,2:44,헤이수스,김시훈,고척
170,2024-05-31,금,키움,SSG,고척,5680,18:30,21:23,2:53,김인범,오원석,고척
