날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2023.09.10(일),13:59,17:29,3:30,쿠에바스,맥카티,수원
2023.09.12(화),18:30,21:08,2:38,김광현,벤자민,문학
2023.09.14(목),18:30,21:22,2:52,최승용,엘리아스,잠실
2023.09.16(토),17:00,20:19,3:19,켈리,오원석,잠실
2023.09.17(일),14:00,18:07,2:57,이정용,김광현,잠실
2023.09.17(일),18:37,22:23,3:46,임찬규,맥카티,잠실
2023.09.19(화),18:30,21:21,2:51,김기중,문승원,대전
2023.09.21(목),18:30,21:47,3:17,송영진,켈리,문학
2023.09.22(금),18:30,21:48,3:18,김광현,박세웅,문학
2023.09.23(토),17:00,19:51,2:51,맥카티,반즈,문학
2023.09.24(일),14:00,17:20,3:20,문승원,윌커슨,문학
2023.09.27(수),15:00,19:04,4:04,김광현,브랜든,문학
2023.09.27(수),19:34,22:34,3:00,엘리아스,최승용,문학
2023.09.28(목),17:00,19:59,2:59,후라도,오원석,고척
2023.09.30(토),14:00,17:08,3:08,문승원,양현종,문학
2023.10.01(일),14:00,17:52,3:52,송영진,윤영철,문학
2023.10.03(화),14:00,17:10,3:10,엘리아스,신민혁,문학
2023.10.04(수),18:39,21:52,3:13,김광현,최성영,문학
2023.10.05(목),18:29,21:39,3:10,오원석,이재학,문학
2023.10.06(금),18:30,21:23,2:53,문승원,이태양,문학
2023.10.07(토),17:01,20:45,3:44,태너,송영진,창원
2023.10.08(일),14:00,17:35,3:35,송명기,엘리아스,창원
2023.10.10(화),18:31,22:08,3:37,파노니,김광현,광주
2023.10.13(금),18:30,21:01,2:31,오원석,후라도,문학
2023.10.14(토),16:59,20:21,3:22,뷰캐넌,문승원,대구
2023.10.16(월),18:31,21:18,2:47,알칸타라,엘리아스,잠실
2023.10.17(화),18:30,21:09,2:39,김광현,장원준,문학
2024.03.23(토),14:00,17:24,3:24,김광현,윌커슨,문학
2024.03.24(일),14:00,17:45,3:45,엘리아스,박세웅,문학
2024.03.26(화),18:30,21:24,2:54,더거,김민우,문학
2024.03.27(수),18:29,21:13,2:44,박종훈,산체스,문학
2024.03.28(목),18:30,22:06,3:36,오원석,문동주,문학
2024.03.29(금),18:29,21:09,2:40,코너,김광현,대구
2024.03.30(토),17:00,20:46,3:46,레예스,엘리아스,대구
2024.03.31(일),13:59,17:35,3:36,백정현,더거,대구
2024.04.02(화),18:29,22:03,3:34,송영진,최원준,문학
2024.04.03(수),18:30,21:33,3:03,오원석,김동주,문학
2024.04.04(목),18:29,21:16,2:47,김광현,알칸타라,문학
2024.04.05(금),18:30,21:01,2:31,신민혁,이건욱,창원
2024.04.06(토),17:00,20:04,3:04,카스타노,더거,창원
2024.04.07(일),13:59,16:39,2:40,하트,박종훈,창원
2024.04.09(화),18:30,21:18,2:48,오원석,손현기,문학
2024.04.10(수),14:00,16:38,2:38,김광현,후라도,문학
2024.04.11(목),18:30,21:25,2:55,엘리아스,하영민,문학
2024.04.12(금),18:30,21:54,3:24,벤자민,더거,수원
2024.04.13(토),17:00,20:17,3:17,원상현,박종훈,수원
2024.04.14(일),14:00,17:08,3:08,엄상백,오원석,수원
2024.04.16(화),18:30,21:46,3:16,김광현,김건국,문학
2024.04.17(수),18:30,21:43,3:13,엘리아스,크로우,문학
2024.04.18(목),18:30,21:17,2:47,더거,윤영철,문학
2024.04.19(금),18:29,21:34,3:05,박종훈,최원태,문학
2024.04.21(일),14:00,17:00,3:00,김광현,엔스,문학
2024.04.21(일),17:40,21:16,3:36,오원석,손주영,문학
2024.04.24(수),18:30,22:04,3:34,이인복,더거,사직
2024.04.25(목),18:31,21:28,2:57,박세웅,박종훈,사직
2024.04.26(금),18:29,21:03,2:34,오원석,엄상백,문학
2024.04.27(토),17:00,19:56,2:56,김광현,쿠에바스,문학
2024.04.28(일),14:00,16:35,2:35,엘리아스,육청명,문학
2024.04.30(화),18:30,21:40,3:10,류현진,이기순,대전
2024.05.01(수),18:30,22:24,3:54,페냐,박종훈,대전
2024.05.02(목),18:30,22:02,3:32,황준서,오원석,대전
2024.05.03(금),18:29,22:10,3:41,김광현,김시훈,문학
2024.05.04(토),17:00,21:23,4:23,엘리아스,신영우,문학
2024.05.07(화),18:30,21:43,3:13,최원태,송영진,잠실
2024.05.08(수),18:30,21:32,3:02,켈리,오원석,잠실
2024.05.09(목),18:31,21:22,2:51,임찬규,김광현,잠실
2024.05.10(금),18:30,21:40,3:10,윤영철,앤더슨,광주
2024.05.12(일),14:00,17:00,3:00,황동하,엘리아스,광주
2024.05.12(일),17:39,21:49,4:10,김사윤,송영진,광주
2024.05.14(화),18:29,21:18,2:49,오원석,원태인,문학
2024.05.16(목),18:29,21:51,3:22,김광현,코너,문학
2024.05.17(금),18:30,22:27,3:57,헤이수스,앤더슨,고척
2024.05.18(토),17:01,19:53,2:52,이종민,이기순,고척
2024.05.19(일),14:01,17:13,3:12,김인범,오원석,고척
2024.05.21(화),18:30,21:31,3:01,최원준,이건욱,잠실
2024.05.22(수),18:30,21:32,3:02,김민규,김광현,잠실
2024.05.23(목),18:30,21:44,3:14,최준호,송영진,잠실
2024.05.24(금),18:30,21:52,3:22,앤더슨,조동욱,문학
2024.05.25(토),16:59,20:48,3:49,오원석,류현진,문학
2024.05.28(화),18:30,21:55,3:25,김광현,엔스,문학
2024.05.29(수),18:30,22:08,3:38,송영진,임찬규,문학
2024.05.30(목),18:30,21:20,2:50,앤더슨,최원태,문학
2024.05.31(금),18:30,21:23,2:53,김인범,오원석,고척
2024.06.01(토),17:01,19:53,2:52,조영건,시라카와,고척
2024.06.02(일),14:00,17:22,3:22,전준표,박종훈,고척
