날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2023.04.13(목),18:30,21:59,3:29,이의리,장민재,광주
2023.04.14(금),18:31,21:22,2:51,요키시,메디나,고척
2023.04.15(토),17:00,19:56,2:56,후라도,윤영철,고척
2023.04.16(일),14:00,16:48,2:48,최원태,양현종,고척
2023.04.18(화),18:30,22:16,3:46,박세웅,앤더슨,사직
2023.04.19(수),18:30,21:43,3:13,한현희,이의리,사직
2023.04.20(목),18:30,21:32,3:02,스트레일리,메디나,사직
2023.04.21(금),18:30,21:50,3:20,윤영철,장필준,광주
2023.04.22(토),16:59,19:56,2:57,양현종,원태인,광주
2023.04.23(일),14:00,17:07,3:07,앤더슨,백정현,광주
2023.04.25(화),18:30,21:49,3:19,이의리,페디,광주
2023.04.26(수),18:29,21:01,2:32,메디나,송명기,광주
2023.04.27(목),18:30,21:08,2:38,윤영철,구창모,광주
2023.04.28(금),18:30,22:44,4:14,임찬규,양현종,잠실
2023.04.29(토),17:01,21:00,3:59,강효종,앤더슨,잠실
2023.04.30(일),14:00,18:12,4:12,켈리,이의리,잠실
2023.05.02(화),18:29,22:10,3:41,메디나,박세웅,광주
2023.05.03(수),18:30,21:58,3:28,윤영철,나균안,광주
2023.05.09(화),18:29,20:53,2:24,양현종,김광현,광주
2023.05.10(수),18:30,21:49,3:19,앤더슨,이건욱,광주
2023.05.11(목),18:29,22:18,3:49,윤영철,오원석,광주
2023.05.12(금),18:31,21:58,3:27,김동주,이의리,잠실
2023.05.13(토),17:01,19:31,2:30,최승용,메디나,잠실
2023.05.14(일),14:00,17:33,3:33,알칸타라,양현종,잠실
2023.05.16(화),18:30,21:51,3:21,원태인,앤더슨,대구
2023.05.17(수),18:30,21:44,3:14,수아레즈,윤영철,대구
2023.05.19(금),18:30,21:04,2:34,이의리,요키시,광주
2023.05.20(토),17:00,19:47,2:47,메디나,후라도,광주
2023.05.21(일),14:00,16:55,2:55,양현종,최원태,광주
2023.05.23(화),18:30,21:40,3:10,산체스,앤더슨,대전
2023.05.24(수),18:30,21:14,2:44,장민재,윤영철,대전
2023.05.25(목),18:30,22:05,3:35,문동주,이의리,대전
2023.05.26(금),18:31,21:27,2:56,메디나,플럿코,광주
2023.05.27(토),13:59,17:12,3:13,양현종,김윤식,광주
2023.05.28(일),13:59,17:00,3:01,앤더슨,임찬규,광주
2023.05.30(화),18:30,21:10,2:40,이의리,고영표,광주
2023.05.31(수),18:30,21:16,2:46,윤영철,엄상백,광주
2023.06.02(금),18:30,21:31,3:01,스트레일리,양현종,사직
2023.06.03(토),17:00,21:14,4:14,나균안,메디나,사직
2023.06.04(일),14:00,17:18,3:18,한현희,이의리,사직
2023.06.06(화),14:01,17:00,2:59,윤영철,엘리아스,광주
2023.06.07(수),18:30,22:13,3:43,양현종,백승건,광주
2023.06.08(목),18:30,21:47,3:17,앤더슨,박종훈,광주
2023.06.09(금),18:30,22:37,4:07,김동주,메디나,잠실
2023.06.10(토),17:00,20:26,3:26,최승용,이의리,잠실
2023.06.11(일),16:58,19:31,2:33,곽빈,윤영철,잠실
2023.06.13(화),18:30,21:42,3:12,후라도,양현종,고척
2023.06.14(수),18:29,21:18,2:49,최원태,앤더슨,고척
2023.06.15(목),18:30,22:20,3:50,정찬헌,메디나,고척
2023.06.16(금),18:30,22:42,4:12,이의리,이재학,광주
2023.06.17(토),17:00,20:45,3:45,윤영철,와이드너,광주
2023.06.18(일),16:59,21:45,4:46,양현종,이용준,광주
2023.06.20(화),18:29,22:03,3:02,한승주,앤더슨,대전
2023.06.21(수),18:30,21:47,3:17,페냐,메디나,대전
2023.06.22(목),18:30,21:55,3:25,한승혁,이의리,대전
2023.06.23(금),18:30,21:25,2:55,황동하,쿠에바스,광주
2023.06.24(토),17:00,20:04,3:04,양현종,엄상백,광주
2023.06.27(화),18:29,21:03,2:04,이의리,정찬헌,광주
2023.06.28(수),18:30,22:46,4:16,윤영철,안우진,광주
2023.06.30(금),18:30,21:56,3:26,켈리,양현종,잠실
2023.07.01(토),18:01,21:12,3:11,플럿코,김건국,잠실
2023.07.02(일),17:00,19:58,2:58,이정용,앤더슨,잠실
2023.07.05(수),18:30,21:59,3:29,박종훈,윤영철,문학
2023.07.06(목),18:30,22:32,4:02,김광현,양현종,문학
2023.07.07(금),18:30,21:54,3:24,엄상백,김건국,수원
2023.07.08(토),18:01,21:01,3:00,고영표,이의리,수원
2023.07.09(일),17:00,19:59,2:59,배제성,산체스,수원
2023.07.12(수),18:29,21:33,3:04,파노니,원태인,광주
2023.07.13(목),18:29,21:29,3:00,양현종,뷰캐넌,광주
2023.07.21(금),18:30,21:30,3:00,산체스,알칸타라,광주
2023.07.25(화),18:30,21:58,3:28,신민혁,파노니,창원
2023.07.26(수),18:30,22:01,3:31,송명기,산체스,창원
2023.07.27(목),18:29,21:16,2:47,페디,양현종,창원
2023.07.28(금),18:30,21:45,3:15,이의리,박세웅,광주
2023.07.29(토),18:00,20:56,2:56,윤영철,이인복,광주
2023.07.30(일),17:01,20:18,3:17,파노니,한현희,광주
2023.08.01(화),18:30,22:16,3:46,수아레즈,산체스,포항
2023.08.02(수),18:29,21:45,3:16,최채흥,양현종,포항
2023.08.03(목),18:29,22:36,4:07,원태인,이의리,포항
2023.08.04(금),18:30,21:46,3:16,윤영철,장민재,광주
2023.08.05(토),18:00,21:20,3:20,파노니,한승혁,광주
2023.08.06(일),17:00,21:57,4:57,산체스,문동주,광주
2023.08.09(수),18:40,21:36,2:56,이의리,이정용,광주
2023.08.11(금),18:31,21:40,3:09,윌커슨,파노니,사직
2023.08.12(토),18:00,21:55,3:55,정성종,윤영철,사직
2023.08.13(일),17:01,19:51,2:50,반즈,산체스,사직
2023.08.15(화),16:59,20:40,3:41,양현종,후라도,광주
2023.08.16(수),18:30,21:44,3:14,이의리,정찬헌,광주
2023.08.17(목),18:30,21:43,3:13,파노니,장재영,광주
2023.08.18(금),18:30,21:59,3:29,와이드너,윤영철,대구
2023.08.19(토),18:00,21:12,3:12,최채흥,산체스,대구
2023.08.20(일),17:00,21:55,3:27,원태인,황동하,대구
2023.08.22(화),18:29,21:45,3:16,엄상백,이의리,수원
2023.08.24(목),18:30,22:10,3:40,고영표,파노니,수원
2023.08.25(금),18:29,21:08,2:39,산체스,산체스,광주
2023.08.26(토),18:00,21:09,3:09,양현종,페냐,광주
2023.08.27(일),17:00,19:59,2:59,윤영철,문동주,광주
2023.08.31(목),18:30,21:23,2:53,파노니,페디,광주
2023.09.01(금),18:30,21:41,3:11,엘리아스,양현종,문학
2023.09.02(토),17:00,20:21,3:21,문승원,윤영철,문학
2023.09.03(일),14:00,17:48,3:48,오원석,이의리,문학
2023.09.06(수),18:31,21:46,3:15,곽빈,파노니,잠실
2023.09.07(목),18:30,21:32,3:02,최원준,양현종,잠실
2023.09.08(금),18:30,21:53,3:23,윤영철,김윤식,광주
2023.09.09(토),14:00,17:32,3:32,황동하,임찬규,광주
2023.09.09(토),18:04,21:52,3:48,이의리,손주영,광주
2023.09.10(일),14:01,17:58,3:57,김건국,최원태,광주
2023.09.12(화),18:30,22:09,3:39,와이드너,파노니,대구
2023.09.13(수),19:10,21:56,2:00,양현종,심재민,광주
2023.09.15(금),18:30,22:39,4:09,윤영철,브랜든,광주
