날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2023.05.27(토),14:00,17:28,3:28,최원태,반즈,고척
2023.05.28(일),14:00,17:34,3:34,정찬헌,나균안,고척
2023.05.30(화),18:30,21:32,3:02,이민호,한현희,잠실
2023.05.31(수),18:30,21:45,3:15,켈리,박세웅,잠실
2023.06.01(목),18:30,20:58,2:28,플럿코,반즈,잠실
2023.06.02(금),18:30,21:31,3:01,스트레일리,양현종,사직
2023.06.03(토),17:00,21:14,4:14,나균안,메디나,사직
2023.06.04(일),14:00,17:18,3:18,한현희,이의리,사직
2023.06.06(화),17:01,20:13,3:12,박세웅,고영표,사직
2023.06.07(수),18:30,22:02,3:32,반즈,엄상백,사직
2023.06.08(목),18:30,23:19,4:49,스트레일리,배제성,사직
2023.06.09(금),18:30,21:36,3:06,원태인,나균안,대구
2023.06.10(토),17:00,20:50,3:50,수아레즈,한현희,대구
2023.06.11(일),16:59,20:31,3:32,백정현,박세웅,대구
2023.06.13(화),18:32,22:30,3:58,반즈,문동주,사직
2023.06.14(수),18:30,21:41,3:11,스트레일리,김민우,사직
2023.06.15(목),18:30,22:30,4:00,나균안,페냐,사직
2023.06.16(금),18:30,21:31,3:01,맥카티,한현희,문학
2023.06.17(토),16:59,20:37,3:38,김광현,박세웅,문학
2023.06.18(일),17:00,20:22,3:22,엘리아스,반즈,문학
2023.06.20(화),18:29,21:42,3:13,배제성,스트레일리,수원
2023.06.21(수),18:31,21:26,2:55,고영표,나균안,수원
2023.06.22(목),18:30,21:46,3:16,벤자민,이인복,수원
2023.06.23(금),18:30,21:10,2:40,켈리,박세웅,잠실
2023.06.24(토),16:59,19:52,2:53,플럿코,반즈,잠실
2023.06.25(일),17:01,20:59,3:58,이정용,스트레일리,잠실
2023.06.27(화),18:30,21:36,3:06,정성종,원태인,사직
2023.06.28(수),18:30,22:07,3:37,이인복,수아레즈,사직
2023.06.30(금),18:30,21:57,3:27,박세웅,브랜든,울산
2023.07.01(토),18:01,21:04,3:03,반즈,곽빈,울산
2023.07.02(일),17:00,20:11,3:11,스트레일리,알칸타라,울산
2023.07.05(수),18:30,21:37,3:07,한승주,나균안,대전
2023.07.06(목),18:30,21:46,3:16,문동주,반즈,대전
2023.07.08(토),18:00,21:15,3:15,박세웅,플럿코,사직
2023.07.09(일),17:00,20:35,3:35,스트레일리,이정용,사직
2023.07.12(수),18:30,22:15,3:45,페디,나균안,창원
2023.07.13(목),18:30,21:20,2:50,와이드너,반즈,창원
2023.07.21(금),18:30,20:58,2:28,반즈,안우진,사직
2023.07.22(토),18:01,21:42,3:41,박세웅,후라도,사직
2023.07.23(일),17:00,23:10,4:44,이인복,최원태,사직
2023.07.25(화),18:30,22:10,3:32,브랜든,나균안,잠실
2023.07.26(수),18:30,21:47,3:17,곽빈,윌커슨,잠실
2023.07.27(목),18:30,21:46,3:16,최원준,반즈,잠실
2023.07.28(금),18:30,21:45,3:15,이의리,박세웅,광주
2023.07.29(토),18:00,20:56,2:56,윤영철,이인복,광주
2023.07.30(일),17:01,20:18,3:17,파노니,한현희,광주
2023.08.01(화),18:31,22:14,3:43,윌커슨,송명기,사직
2023.08.02(수),18:30,21:55,3:25,반즈,페디,사직
2023.08.03(목),18:30,21:37,3:07,박세웅,와이드너,사직
2023.08.04(금),18:31,21:55,3:24,이인복,박종훈,사직
2023.08.05(토),18:00,22:13,4:13,한현희,오원석,사직
2023.08.06(일),17:01,19:24,2:23,윌커슨,맥카티,사직
2023.08.08(화),18:30,22:03,3:33,안우진,반즈,고척
2023.08.09(수),18:30,22:14,3:44,후라도,박세웅,고척
2023.08.10(목),18:30,22:39,4:09,정찬헌,한현희,고척
2023.08.11(금),18:31,21:40,3:09,윌커슨,파노니,사직
2023.08.12(토),18:00,21:55,3:55,정성종,윤영철,사직
2023.08.13(일),17:01,19:51,2:50,반즈,산체스,사직
2023.08.15(화),17:01,20:34,3:33,박세웅,엘리아스,사직
2023.08.16(수),18:30,21:57,3:27,윌커슨,박종훈,사직
2023.08.17(목),18:30,22:38,4:08,심재민,오원석,사직
2023.08.18(금),18:30,21:44,3:14,맥키니,반즈,고척
2023.08.19(토),14:00,17:15,3:15,안우진,나균안,고척
2023.08.20(일),14:00,17:57,3:57,오상원,박세웅,고척
2023.08.24(목),18:30,21:17,2:47,켈리,반즈,잠실
2023.08.25(금),18:30,21:33,3:03,윌커슨,벤자민,사직
2023.08.26(토),18:01,21:38,3:37,박세웅,배제성,사직
2023.08.27(일),17:00,19:47,2:47,나균안,쿠에바스,사직
2023.08.31(목),18:30,22:01,3:31,이태양,윌커슨,대전
2023.09.03(일),14:00,16:41,2:41,반즈,브랜든,사직
2023.09.04(월),18:29,22:03,3:34,박세웅,알칸타라,사직
2023.09.05(화),18:30,22:05,3:35,윌커슨,최채흥,울산
2023.09.06(수),18:30,22:19,3:49,나균안,와이드너,울산
2023.09.07(목),18:30,22:33,4:03,심재민,원태인,울산
2023.09.08(금),18:30,22:01,3:31,이재학,반즈,창원
2023.09.09(토),14:00,17:09,3:09,송명기,박세웅,창원
2023.09.09(토),17:39,21:29,3:50,최성영,한현희,창원
2023.09.10(일),14:00,16:51,2:51,페디,윌커슨,창원
2023.09.12(화),18:31,22:14,3:43,나균안,신민혁,사직
2023.09.13(수),19:10,21:56,2:00,양현종,심재민,광주
2023.09.15(금),18:30,22:37,4:07,반즈,후라도,사직
2023.09.17(일),14:00,17:23,3:23,와이드너,박세웅,대구
2023.09.19(화),18:30,21:54,3:24,윌커슨,김선기,사직
2023.09.21(목),18:29,21:06,2:37,배제성,나균안,수원
2023.09.22(금),18:30,21:48,3:18,김광현,박세웅,문학
2023.09.23(토),17:00,19:51,2:51,맥카티,반즈,문학
2023.09.24(일),14:00,17:20,3:20,문승원,윌커슨,문학
2023.09.28(목),17:01,19:46,2:45,반즈,산체스,사직
2023.09.29(금),14:00,17:07,3:07,한현희,한승주,사직
2023.10.01(일),14:00,16:57,2:57,윌커슨,이호성,사직
2023.10.02(월),14:00,17:34,3:34,심재민,와이드너,사직
2023.10.02(월),18:05,21:54,3:49,정성종,김대우,사직
2023.10.03(화),14:00,16:42,2:42,반즈,황동재,사직
