날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2023.09.17(일),14:01,17:26,3:25,파노니,알칸타라,광주
2023.09.18(월),18:29,21:49,3:20,황동하,곽빈,광주
2023.09.19(화),18:29,21:32,3:03,장원준,페디,잠실
2023.09.21(목),18:45,21:47,3:02,뷰캐넌,브랜든,대구
2023.09.22(금),18:30,21:25,2:55,최채흥,최승용,대구
2023.09.23(토),17:00,20:06,3:06,이재학,알칸타라,창원
2023.09.24(일),14:00,18:11,4:11,신민혁,장원준,창원
2023.09.27(수),15:00,19:04,4:04,김광현,브랜든,문학
2023.09.27(수),19:34,22:34,3:00,엘리아스,최승용,문학
2023.09.29(금),14:00,17:07,3:07,최원준,임찬규,잠실
2023.09.30(토),14:12,18:16,4:04,김동주,최원태,잠실
2023.10.01(일),14:01,16:59,2:58,알칸타라,이지강,잠실
2023.10.02(월),14:00,16:45,2:45,브랜든,장재영,잠실
2023.10.03(화),14:01,17:44,3:43,최승용,이종민,잠실
2023.10.07(토),17:00,20:21,3:21,알칸타라,윌커슨,잠실
2023.10.08(일),14:00,16:38,2:38,브랜든,반즈,잠실
2023.10.10(화),18:31,22:27,3:56,조이현,최승용,수원
2023.10.11(수),18:31,21:51,3:20,박세웅,최원준,사직
2023.10.12(목),18:31,21:29,2:58,장원준,이재학,잠실
2023.10.13(금),18:30,21:17,2:47,곽빈,김건국,잠실
2023.10.14(토),17:00,19:44,2:44,김윤식,브랜든,잠실
2023.10.15(일),14:00,17:04,3:04,임찬규,김동주,잠실
2023.10.16(월),18:31,21:18,2:47,알칸타라,엘리아스,잠실
2023.10.17(화),18:30,21:09,2:39,김광현,장원준,문학
2024.03.23(토),14:01,16:49,2:48,하트,알칸타라,창원
2024.03.24(일),14:00,17:35,3:04,신민혁,브랜든,창원
2024.03.26(화),18:30,21:28,2:58,벤자민,곽빈,수원
2024.03.27(수),18:30,21:49,3:19,고영표,최원준,수원
2024.03.28(목),18:30,22:01,3:31,원상현,김동주,수원
2024.03.29(금),18:31,22:19,3:48,알칸타라,이의리,잠실
2024.03.30(토),17:02,19:51,2:49,브랜든,크로우,잠실
2024.03.31(일),14:01,17:08,3:07,곽빈,윤영철,잠실
2024.04.02(화),18:29,22:03,3:34,송영진,최원준,문학
2024.04.03(수),18:30,21:33,3:03,오원석,김동주,문학
2024.04.04(목),18:29,21:16,2:47,김광현,알칸타라,문학
2024.04.05(금),18:29,21:46,3:17,이인복,브랜든,사직
2024.04.06(토),17:00,19:42,2:42,박세웅,곽빈,사직
2024.04.07(일),14:01,18:09,4:08,반즈,박신지,사직
2024.04.09(화),18:31,21:33,3:02,김동주,산체스,잠실
2024.04.10(수),14:01,16:59,2:58,알칸타라,문동주,잠실
2024.04.11(목),18:31,21:15,2:44,브랜든,류현진,잠실
2024.04.12(금),18:30,21:22,2:52,곽빈,켈리,잠실
2024.04.13(토),17:01,20:20,3:19,이영하,최원태,잠실
2024.04.14(일),14:00,17:29,3:29,김동주,손주영,잠실
2024.04.16(화),18:30,21:26,2:56,코너,박소준,대구
2024.04.17(수),18:30,21:34,3:04,레예스,김호준,대구
2024.04.18(목),18:30,21:35,3:05,이승현,곽빈,대구
2024.04.19(금),18:30,22:09,3:39,최원준,김선기,잠실
2024.04.21(일),14:00,17:06,3:06,김동주,후라도,잠실
2024.04.21(일),17:47,20:19,2:32,알칸타라,김인범,잠실
2024.04.23(화),18:31,21:44,3:13,최준호,신민혁,잠실
2024.04.24(수),18:30,21:25,2:55,곽빈,이재학,잠실
2024.04.25(목),18:30,21:21,2:51,최원준,카스타노,잠실
2024.04.26(금),18:30,21:39,3:09,황준서,김유성,대전
2024.04.27(토),17:00,20:19,3:19,산체스,박정수,대전
2024.04.28(일),14:00,17:56,3:56,문동주,최준호,대전
2024.04.30(화),18:31,21:25,2:54,곽빈,이승현,잠실
2024.05.01(수),18:31,21:22,2:51,브랜든,이호성,잠실
2024.05.02(목),18:30,21:16,2:46,최원준,원태인,잠실
2024.05.03(금),18:31,21:42,3:11,엔스,김유성,잠실
2024.05.04(토),14:01,17:00,2:59,손주영,최준호,잠실
2024.05.07(화),18:30,21:16,2:46,이종민,곽빈,고척
2024.05.08(수),18:30,21:19,2:49,김인범,브랜든,고척
2024.05.09(목),18:31,21:23,2:52,후라도,최원준,고척
2024.05.10(금),18:31,21:54,3:23,김유성,원상현,잠실
2024.05.12(일),14:00,16:49,2:49,최준호,벤자민,잠실
2024.05.12(일),17:30,20:30,3:00,곽빈,육청명,잠실
2024.05.14(화),18:29,21:39,3:10,양현종,브랜든,광주
2024.05.15(수),14:00,17:38,3:38,네일,최원준,광주
2024.05.16(목),18:29,23:09,4:40,윤영철,김동주,광주
2024.05.17(금),18:31,21:40,3:09,최준호,윌커슨,잠실
2024.05.18(토),17:00,20:04,3:04,곽빈,나균안,잠실
2024.05.19(일),13:59,18:16,4:17,브랜든,이민석,잠실
2024.05.21(화),18:30,21:31,3:01,최원준,이건욱,잠실
2024.05.22(수),18:30,21:32,3:02,김민규,김광현,잠실
2024.05.23(목),18:30,21:44,3:14,최준호,송영진,잠실
2024.05.24(금),18:30,21:53,3:23,황동하,곽빈,광주
2024.05.25(토),14:00,17:04,3:04,양현종,브랜든,광주
2024.05.26(일),14:00,16:44,2:44,네일,알칸타라,광주
2024.05.28(화),18:30,21:57,3:27,최원준,쿠에바스,잠실
2024.05.29(수),18:31,21:41,3:10,최준호,원상현,잠실
2024.05.30(목),18:30,21:17,2:47,곽빈,한차현,잠실
2024.05.31(금),18:30,21:57,3:27,브랜든,손주영,잠실
2024.06.01(토),17:00,21:02,4:02,알칸타라,켈리,잠실
2024.06.02(일),14:00,17:37,3:37,김유성,엔스,잠실
