날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2023.08.08(화),18:30,22:03,3:33,안우진,반즈,고척
2023.08.09(수),18:30,22:14,3:44,후라도,박세웅,고척
2023.08.10(목),18:30,22:39,4:09,정찬헌,한현희,고척
2023.08.11(금),18:30,21:27,2:57,켈리,장재영,잠실
2023.08.12(토),18:00,21:24,3:24,최원태,맥키니,잠실
2023.08.13(일),17:00,20:42,3:42,임찬규,김동규,잠실
2023.08.15(화),16:59,20:40,3:41,양현종,후라도,광주
2023.08.16(수),18:30,21:44,3:14,이의리,정찬헌,광주
2023.08.17(목),18:30,21:43,3:13,파노니,장재영,광주
2023.08.18(금),18:30,21:44,3:14,맥키니,반즈,고척
2023.08.19(토),14:00,17:15,3:15,안우진,나균안,고척
2023.08.20(일),14:00,17:57,3:57,오상원,박세웅,고척
2023.08.22(화),18:30,21:17,2:47,김선기,알칸타라,고척
2023.08.23(수),18:30,22:28,3:58,장재영,브랜든,고척
2023.08.24(목),18:30,22:37,4:07,맥키니,김동주,고척
2023.08.25(금),18:30,21:41,3:11,와이드너,안우진,대구
2023.08.26(토),18:00,21:09,3:09,백정현,후라도,대구
2023.08.27(일),18:01,21:02,3:01,원태인,김선기,대구
2023.08.30(수),18:30,22:01,3:31,맥카티,맥키니,문학
2023.08.31(목),18:29,23:01,4:32,김광현,안우진,문학
2023.09.01(금),18:30,21:34,3:04,장재영,고영표,고척
2023.09.02(토),17:01,20:08,3:07,김선기,배제성,고척
2023.09.03(일),14:01,16:35,2:34,후라도,김민,고척
2023.09.05(화),18:30,20:58,2:28,페디,맥키니,창원
2023.09.06(수),18:30,22:17,3:47,신민혁,주승우,창원
2023.09.07(목),18:31,21:09,2:38,태너,장재영,창원
2023.09.08(금),18:31,23:13,4:42,김선기,산체스,고척
2023.09.09(토),14:00,17:16,3:16,김동혁,김기중,고척
2023.09.09(토),17:47,21:25,3:38,이명종,남지민,고척
2023.09.10(일),14:00,17:56,3:56,주승우,한승주,고척
2023.09.15(금),18:30,22:37,4:07,반즈,후라도,사직
2023.09.19(화),18:30,21:54,3:24,윌커슨,김선기,사직
2023.09.21(목),18:30,21:18,2:48,후라도,태너,고척
2023.09.22(금),18:30,22:45,4:15,남지민,장재영,대전
2023.09.28(목),17:00,19:59,2:59,후라도,오원석,고척
2023.09.29(금),14:00,17:57,3:57,김선기,황동하,고척
2023.10.01(일),13:59,16:50,2:51,쿠에바스,이명종,수원
2023.10.02(월),14:00,16:45,2:45,브랜든,장재영,잠실
2023.10.03(화),14:01,17:44,3:43,최승용,이종민,잠실
2023.10.07(토),17:00,19:49,2:49,후라도,이지강,고척
2023.10.10(화),18:30,21:46,3:16,김선기,황동재,고척
2023.10.11(수),18:30,21:12,2:42,양현종,이종민,광주
2023.10.13(금),18:30,21:01,2:31,오원석,후라도,문학
2024.03.23(토),13:59,16:46,2:47,크로우,후라도,광주
2024.03.26(화),18:30,21:52,3:22,카스타노,헤이수스,창원
2024.03.27(수),18:30,21:15,2:45,이재학,김선기,창원
2024.03.29(금),18:30,21:13,2:43,후라도,엔스,고척
2024.03.30(토),17:01,19:45,2:44,하영민,임찬규,고척
2024.03.31(일),14:00,16:49,2:49,헤이수스,켈리,고척
2024.04.02(화),18:30,21:07,2:37,원태인,김선기,대구
2024.04.04(목),18:30,21:09,2:39,코너,후라도,대구
2024.04.05(금),18:30,21:31,3:01,하영민,류현진,고척
2024.04.06(토),17:01,19:56,2:55,헤이수스,페냐,고척
2024.04.07(일),14:00,17:25,3:25,김선기,김민우,고척
2024.04.09(화),18:30,21:18,2:48,오원석,손현기,문학
2024.04.10(수),14:00,16:38,2:38,김광현,후라도,문학
2024.04.11(목),18:30,21:25,2:55,엘리아스,하영민,문학
2024.04.12(금),18:30,21:31,3:01,헤이수스,박세웅,고척
2024.04.13(토),17:00,19:52,2:52,김선기,반즈,고척
2024.04.14(일),14:00,17:45,3:45,손현기,나균안,고척
2024.04.16(화),18:31,21:04,2:33,후라도,쿠에바스,고척
2024.04.17(수),18:31,22:07,3:36,하영민,육청명,고척
2024.04.18(목),18:30,21:01,2:31,헤이수스,벤자민,고척
2024.04.19(금),18:30,22:09,3:39,최원준,김선기,잠실
2024.04.21(일),14:00,17:06,3:06,김동주,후라도,잠실
2024.04.21(일),17:47,20:19,2:32,알칸타라,김인범,잠실
2024.04.23(화),18:31,22:15,3:44,하영민,크로우,고척
2024.04.24(수),18:30,21:29,2:59,헤이수스,윤영철,고척
2024.04.25(목),18:30,21:10,2:40,이종민,양현종,고척
2024.04.26(금),18:30,21:19,2:49,김인범,원태인,고척
2024.04.27(토),17:01,20:24,3:23,후라도,코너,고척
2024.04.28(일),14:01,17:39,3:38,하영민,레예스,고척
2024.04.30(화),18:31,21:58,3:27,이인복,헤이수스,사직
2024.05.01(수),18:31,21:47,3:16,박세웅,이종민,사직
2024.05.02(목),18:30,21:48,3:18,반즈,김인범,사직
2024.05.03(금),18:30,21:06,2:36,쿠에바스,후라도,수원
2024.05.04(토),17:00,19:41,2:41,육청명,하영민,수원
2024.05.07(화),18:30,21:16,2:46,이종민,곽빈,고척
2024.05.08(수),18:30,21:19,2:49,김인범,브랜든,고척
2024.05.09(목),18:31,21:23,2:52,후라도,최원준,고척
2024.05.10(금),18:30,22:06,3:36,산체스,하영민,대전
2024.05.11(토),14:00,17:13,3:13,황준서,헤이수스,대전
2024.05.12(일),14:00,16:51,2:51,조동욱,전준표,대전
2024.05.14(화),18:30,21:37,3:07,켈리,김인범,잠실
2024.05.16(목),18:30,22:09,3:39,엔스,후라도,잠실
2024.05.17(금),18:30,22:27,3:57,헤이수스,앤더슨,고척
2024.05.18(토),17:01,19:53,2:52,이종민,이기순,고척
2024.05.19(일),14:01,17:13,3:12,김인범,오원석,고척
2024.05.21(화),18:31,21:53,3:22,하영민,신민혁,고척
2024.05.22(수),18:31,21:54,3:23,후라도,하트,고척
2024.05.23(목),18:30,21:14,2:44,헤이수스,김시훈,고척
2024.05.24(금),18:30,21:42,3:12,한차현,전준표,수원
2024.05.25(토),17:00,19:56,2:56,엄상백,김인범,수원
2024.05.28(화),18:31,21:27,2:56,코너,후라도,대구
2024.05.29(수),18:30,21:47,3:17,이승현,헤이수스,대구
2024.05.30(목),18:31,21:26,2:55,레예스,이종민,대구
2024.05.31(금),18:30,21:23,2:53,김인범,오원석,고척
2024.06.01(토),17:01,19:53,2:52,조영건,시라카와,고척
2024.06.02(일),14:00,17:22,3:22,전준표,박종훈,고척
2024.06.04(화),18:30,21:32,3:02,이믿음,헤이수스,잠실
2024.06.05(수),18:30,21:57,3:27,최원태,하영민,잠실
2024.06.06(목),17:00,20:17,3:17,손주영,김인범,잠실
2024.06.07(금),18:31,21:42,3:11,조영건,원태인,고척
2024.06.08(토),17:01,19:51,2:50,후라도,코너,고척
